date,street_address,zip_code,city,state,partner ,district,event_type,lbs_trash,people_served,bags,property_type,work_type,summary,comments,lat,long,completed
6/29/2024,6100 Samuell Blvd ,75228,Dallas,TX,Not My Son,South East,distribution,0,271,150,,,,We had to throw away a lot of produce this time resulting in serving less to the community. We made 150 bags but that was due to using smaller bags so portions were smaller we double up on giving.,,,
6/29/2024,9507 Overlake Dr,75220,Dallas,TX,United Peoples Coalition ,North West,distribution,0,388,100,,,,Families were excited to find they could get free produce at the event. It was a great way for volunteers and other organizations to network with each other as well. Lots of smiling faces made for a great turn out before the rain came down. Thank you for helping add impact and value to this event!,,,
7/13/2024,13750 Esperanza Rd,75240,Dallas,TX,,North Central,clean,,0,0,,,,,,,
7/13/2024,3410 Hidalgo Dr,75220,Dallas,TX,,North West,clean,180,0,0,,,Webb Chapel and Hidalgo trash was picked up. The resident parking lot needed the most attention.,I think it was a good decision to work up and down WebbChapel. We could also show more attentionto the parking lot of the residents we service for produce.,,,
7/13/2024,9756 Walnut St,75243,Dallas,TX,,North East,clean,39,0,0,,,Today I've determined my location has needed less and less attention. On the trash pick up .the apartments have noticed the work we're doing and making a effort to keep it clean,I have a longer video will send to pat ..of my direct area when I arrived,,,
7/13/2024,2921 Bonnie View Rd,75216,Dallas,TX,,South Central,clean,120,0,0,,,We cleaned the corner of Bonnie View and Prosperity. Cleaning the cross and a block each way down Bonnie Buew,,,,
7/13/2024,4028 W Camp Wisdom Rd,75237,Dallas,TX,,South West,clean,10,0,0,,,Was able to hit the median area!,,,,
7/13/2024,5557 N Jim Miller Rd,75228,Dallas,TX,Not My Son ,South East,clean,130,0,0,,,"Today, we successfully conducted a community clean-up event in Pleasant Grove, Dallas. Volunteers gathered at 5557 N Jim Miller and worked together to pick up litter, remove debris, and beautify the public spaces. We focused on what use to be a homeless encampment area, open field and trails  to ensure they were clean and safe for the community. In total, we collected 130 pounds of trash and recycling materials. The event fostered a sense of unity and pride among participants, and we received positive feedback from residents who appreciated our efforts to improve the neighborhood.","The clean-up event was a success, showcasing our community's dedication. Here are some suggestions for future improvements: Volunteer Recognition: Implement a program to recognize and appreciate volunteers. Increased Publicity: Use social media and local news to attract more participants. More Supplies: Ensure we have enough tools and supplies for all volunteers. Educational Sessions: Include brief sessions on environmental stewardship. Future Projects: Plan specific future clean-ups, like graffiti removal or community gardening. Today's efforts have made a positive impact. Let's build on this success for future events",,,
6/29/2024,9507 Overlake Dr,75220,Dallas,TX,Bachman Lake Together,North West,distribution,0,100,50,,,,,,,
7/27/2024,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
7/27/2024,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
7/27/2024,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
7/27/2024,7191 American Way,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
7/27/2024,6100 Samuell Blvd,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
7/27/2024,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
8/10/2024,13606 Esperanza Rd,75240,Dallas,TX,,North Central,clean,,0,0,,,,,,,
8/10/2024,3321 Chapel Creek Dr,75024,Dallas,TX,,North West,clean,,0,0,,,,,,,
8/10/2024,9835 Walnut St,75243,Dallas,TX,,North East,clean,,0,0,,,,,,,
8/10/2024,2921 Bonnie View Rd,75216,Dallas,TX,,South Central,clean,,0,0,,,,,,,
8/10/2024,7191 American Way,75237,Dallas,TX,,South West,clean,,0,0,,,,,,,
8/10/2024,7949 S Loop 12,75217,Dallas,TX,,South East,clean,,0,0,,,,,,,
7/27/2024,9507 Overlake Dr,75220,Dallas,TX,Bachman Lake Together,North West,distribution,0,100,50,,,,,,,
8/31/2024,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
8/31/2024,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
8/31/2024,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
8/31/2024,7191 American Way,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
8/31/2024,6100 Samuell Blvd,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
8/31/2024,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
9/14/2024,8500 Midpark Dr,75240,Dallas,TX,,North Central,clean,,0,0,,,,,,,
9/14/2024,9771 Webb Chapel Rd,75220,Dallas,TX,,North West,clean,,0,0,,,,,,,
9/14/2024,12907 Audelia Rd/Walnut St,75243,Dallas,TX,,North East,clean,,0,0,,,,,,,
9/14/2024,2836 Overton Rd,75216,Dallas,TX,,South Central,clean,,0,0,,,,,,,
9/14/2024,2800 Camp Wisdom Rd,75237,Dallas,TX,,South West,clean,,0,0,,,,,,,
9/14/2024,6100 Samuell Blvd,75228,Dallas,TX,,South East,clean,,0,0,,,,,,,
9/28/2024,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
9/28/2024,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
9/28/2024,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
9/28/2024,7191 American Way,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
9/28/2024,6100 Samuell Blvd,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
9/28/2024,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
10/9/2024,8550 Spring Valley Rd,75025,Dallas,TX,,North Central,clean,,0,0,,,,,,,
10/9/2024,3535 Webb Chapel Rd,75220,Dallas,TX,,North West,clean,,0,0,,,,,,,
10/9/2024,13015 Audelia Rd,75243,Dallas,TX,,North East,clean,,0,0,,,,,,,
10/9/2024,3021 Overton Rd,75216,Dallas,TX,,South Central,clean,,0,0,,,,,,,
10/9/2024,7108 Camp Wisdom Rd,75236,Dallas,TX,,South West,clean,,0,0,,,,,,,
10/9/2024,7108 Camp Wisdom Rd,,Dallas,TX,,South East,clean,,0,0,,,,,,,
10/30/2024,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
10/30/2024,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
10/30/2024,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
10/30/2024,7191 American Way,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
10/30/2024,6100 Samuell Blvd,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
10/30/2024,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
11/9/2024,13695 Goldmark Dr,75240,Dallas,TX,,North Central,clean,,0,0,,,,,,,
11/9/2024,9501 Larga Rd,75220,Dallas,TX,,North West,clean,,0,0,,,,,,,
11/9/2024,10045 Audelia Rd,75238,Dallas,TX,,North East,clean,,0,0,,,,,,,
11/9/2024,3623 Bonnie View Rd,75216,Dallas,TX,,South Central,clean,,0,0,,,,,,,
11/9/2024,7191 American Way Rd ,75237,Dallas,TX,,South West,clean,,0,0,,,,,,,
11/9/2024,5542 N Jim Miller Rd ,75228,Dallas,TX,,South East,clean,,0,0,,,,,,,
11/30/2024,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
11/30/2024,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
11/30/2024,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
11/30/2024,7191 American Way,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
11/30/2024,6100 Samuell Blvd,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
11/30/2024,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
12/14/2024,8242 Forest Ln,75243,Dallas,TX,,North Central,clean,,0,0,,,,,,,
12/14/2024,3410 Hidalgo Dr,75220,Dallas,TX,,North West,clean,,0,0,,,,,,,
12/14/2024,9756 Walnut St,75243,Dallas,TX,,North East,clean,,0,0,,,,,,,
12/14/2024,3800 Bonnie View Rd,75216,Dallas,TX,,South Central,clean,,0,0,,,,,,,
12/14/2024,2800 Camp Wisdom Rd,75237,Dallas,TX,,South West,clean,,0,0,,,,,,,
12/14/2024,117 Murdock Rd,75217,Dallas,TX,,South East,clean,,0,0,,,,,,,
12/21/2024,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
12/21/2024,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
12/21/2024,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
12/21/2024,7191 American Way,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
12/21/2024,6100 Samuell Blvd,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
12/21/2024,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
01/11/2025,13999 Goldmark Dr,75240,Dallas,TX,,North Central,clean,,0,0,,,,,,,
01/11/2025,9625 Webb Chapel Rd,75220,Dallas,TX,,North West,clean,,0,0,,,,,,,
01/11/2025,13015 Audelia Rd,75243,Dallas,TX,,North East,clean,,0,0,,,,,,,
01/11/2025,3700 Bonnie View Rd,75216,Dallas,TX,,South Central,clean,,0,0,,,,,,,
01/11/2025,4028 W Camp Wisdom Rd,75237,Dallas,TX,,South West,clean,,0,0,,,,,,,
01/11/2025,557 N Jim Miller Rd,75217,Dallas,TX,,South East,clean,,0,0,,,,,,,
1/25/2025,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
1/25/2025,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
1/25/2025,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
1/25/2025,7191 American Way,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
1/25/2025,6100 Samuell Blvd,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
1/25/2025,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
02/08/2025,8500 Midpark Dr,75240,Dallas,TX,,North Central,clean,,0,0,,,,,,,
02/08/2025,9771 Webb Chapel Rd,75220,Dallas,TX,,North West,clean,,0,0,,,,,,,
02/08/2025,9750 Walnut St,75243,Dallas,TX,,North East,clean,,0,0,,,,,,,
02/08/2025,2921 Bonnie View Rd,75216,Dallas,TX,,South Central,clean,,0,0,,,,,,,
02/08/2025,2800 Camp Wisdom Rd,75237,Dallas,TX,,South West,clean,,0,0,,,,,,,
02/08/2025,6100 Samuell Blvd,75228,Dallas,TX,,South East,clean,,0,0,,,,,,,
2/22/2025,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
2/22/2025,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
2/22/2025,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
2/22/2025,7191 American Way,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
2/22/2025,6100 Samuell Blvd,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
2/22/2025,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
03/08/2025,13450 Esperanza Rd,75240,Dallas,TX,,North Central,clean,,0,0,,,,,,,
03/08/2025,3535 Webb Chapel Rd,75220,Dallas,TX,,North West,clean,,0,0,,,,,,,
03/08/2025,9835 Walnut St ,75243,Dallas,TX,,North East,clean,,0,0,,,,,,,
03/08/2025,2921 Bonnie View Rd,75216,Dallas,TX,,South Central,clean,,0,0,,,,,,,
03/08/2025,7191 American Way Rd,75237,Dallas,TX,,South West,clean,,0,0,,,,,,,
03/08/2025,6100 Samuell Blvd,75228,Dallas,TX,,South East,clean,,0,0,,,,,,,
3/29/2025,3728 Bonnie View Rd,75216,Dallas,TX,,South Central,distribution,0,,,,,,,,,
3/29/2025,13999 Goldmark Dr,75240,Dallas,TX,,North Central ,distribution,0,,,,,,,,,
3/29/2025,9756 Walnut St,75243,Dallas,TX,,North East,distribution,0,,,,,,,,,
3/29/2025,7191 American Way ,75237,Dallas,TX,,South West,distribution,0,,,,,,,,,
3/29/2025,6100 Samuell Blvd ,75228,Dallas,TX,,South East,distribution,0,,,,,,,,,
3/29/2025,9507 Overlake Dr,75220,Dallas,TX,,North West,distribution,0,,,,,,,,,
09/08/2023,13450 Esperanza Rd,75240,Dallas,TX,,North Central,Transformation,0,0,0,apt ,fencing,,,,,TRUE
09/08/2023,13512 Esperanza Rd,75240,Dallas,TX,,North Central,Transformation,0,0,0,apt ,,,,,,FALSE
09/08/2023,13606 Esperanza Rd,75240,Dallas,TX,,North Central,Transformation,0,0,0,apt ,,,,,,FALSE
09/08/2023,13750 Esperanza Rd,75240,Dallas,TX,,North Central,Transformation,0,0,0,apt ,,,,,,FALSE
09/08/2023,8550 Midpark Rd,75240,Dallas,TX,,North Central,Transformation,0,0,0,apt ,,,,,,FALSE
09/09/2023,Esperanza @ Rolling Hills - S - NS,75240,Dallas,TX,,North Central,Transformation,0,0,0,bus stop,,,,32.93446714,-96.76117785,FALSE
09/10/2023,Esperanza @ Midpark - S - FS,75240,Dallas,TX,,North Central,Transformation,0,0,0,bus stop,,,,32.93620287,-96.76127983,FALSE
09/11/2023,Esperanza @ Rolling Hills - N - FS,75240,Dallas,TX,,North Central,Transformation,0,0,0,bus stop,,,,32.93446617,-96.7608796,FALSE
09/12/2023,Esperanza @ Brookgreen - S - NS,75240,Dallas,TX,,North Central,Transformation,0,0,0,bus stop,,,,32.93220702,-96.76115796,FALSE
09/13/2023,Esperanza @ Kit - S - MB,75240,Dallas,TX,,North Central,Transformation,0,0,0,bus stop,,,,32.93196834,-96.76123892,FALSE
09/14/2023,Esperanza @ Brookgreen - N - MB,75240,Dallas,TX,,North Central,Transformation,0,0,0,bus stop,,,,32.93314986,-96.76112275,FALSE
